id,termo,descricao,descricao_longa,alternativa,recurso
1,Sigilo,a resposta indica que a informação solicitada é sigilosa,"a resposta informa o tipo de sigilo (reservado, secreto ou ultrassecreto), o prazo que dura o sigilo e quem foi responsável por colocar a informação em sigilo?",Sigilo,"Apresento recurso contra a negativa de acesso à informação, com base no art. 11, §1º, II e no art. 16, II da Lei de Acesso à Informação (Lei n° 12.527 de 18 de novembro de 2011). 

A resposta não indica “as razões de fato ou de direito da recusa”, ao não informar o grau ou o prazo de sigilo da informação. Além disso, não há, na resposta, indicação da autoridade que classificou a informação como sigilosa.

Diante do exposto, solicito a revisão da decisão para que forneça integralmente os fundamentos da negativa, de modo a cumprir os provimentos legais.

Aproveito a oportunidade para pedir a revisão da decisão pela negativa, diante do fato que a Lei de Acesso à Informação determina em seu art. 3, inciso I, a publicidade como regra geral e o sigilo como exceção das informações de interesse público. E, caso a informação seja apenas parcialmente sigilosa, a Lei garante acesso à parte não sigilosa por meio de certidão, extrato ou cópia com ocultação da parte sob sigilo (art. 7º, §2º).

Ainda segundo a LAI, informações sigilosas são apenas aquelas que se publicizadas comprometem a segurança da sociedade e/ou do Estado (art. 4°, III), com exceção às informações à tutela judicial ou administrativa de direitos fundamentais (art. 21 caput)."
2,Sigilo,a resposta indica que a informação solicitada é sigilosa,"a informação que você solicitou é necessária para garantir ou lutar por direitos fundamentais (como saúde, educação)?",Sigilo,"Apresento recurso contra a negativa de acesso à informação, com base no art. 21 da Lei de Acesso à Informação (Lei n° 12.527 de 18 de novembro de 2011). 

As informações solicitadas são necessárias para garantir direitos fundamentais e, de acordo com o dispositivo legal indicado, não podem ter acesso negado.

[De forma direta e objetiva, aponte os motivos pelos quais a informação que você pediu são necessários para garantir direitos fundamentais. Por exemplo: os dados sobre os contratos firmados com organizações sociais para gestão de unidades de saúde são essenciais para fiscalizar a gestão do direito fundamental à saúde]

Diante do exposto, solicito a reavaliação do pedido de informação e o deferimento deste recurso para que a informação seja fornecida integralmente."
3,Sigilo,a resposta indica que a informação solicitada é sigilosa,a informação que você solicitou comprova ou tem relação com violações de direitos humanos cometidas ou ordenadas por agentes públicos?,Sigilo,"Apresento recurso contra a negativa de acesso à informação, com base no Parágrafo único do art. 21 da Lei de Acesso à Informação (Lei n° 12.527 de 18 de novembro de 2011). 

As informações solicitadas dizem respeito a condutas que implicam violações de direitos humanos praticada por agentes públicos ou a mando de autoridades públicas e, de acordo com o dispositivo legal indicado, não podem ter acesso negado.

[De forma direta e objetiva, aponte os motivos pelos quais a informação que você pediu se refere a violações de direitos humanos envolvendo agentes públicos. Por exemplo: dados sobre casos de abuso policial relacionam-se a violações de direitos humanos praticadas por agentes do Estado e, portanto, não podem ser sigilosos.]

Diante do exposto, solicito a reavaliação do pedido de informação e o deferimento deste recurso para que a informação seja fornecida integralmente."
4,Sigilo,a resposta indica que a informação solicitada é sigilosa,a informação solicitada foi considerada imprescindível à segurança da sociedade ou do Estado?,Sigilo,"Apresento recurso contra a negativa ao pedido de informação diante do não cabimento da restrição de acesso por risco à segurança da sociedade ou do Estado às informações solicitadas.

[De forma direta e objetiva, aponte os motivos pelos quais a divulgação da informação que você pediu não representaria risco à segurança da sociedade ou do Estado, ou seja, não prejudicaria investigações em andamento, ou o planejamento de ações, ou a segurança de altas autoridades públicas. Por exemplo: a divulgação da lista de visitantes ao Palácio do Planalto em datas anteriores não colocar em risco a segurança do presidente da República, tendo em vista que a informação não revela a rotina da autoridade nem as estratégias para garantir a segurança dele.]

Diante do exposto, a negativa de acesso à informação solicitada não tem provimento legal e, portanto, solicito que a informação seja fornecida integralmente."
5,Não é de competência do órgão,o órgão não tem competência para fornecer a informação solicitada,o órgão não tem competência para fornecer a informação solicitada,Informação não é de competência do órgão,"Apresento recurso contra a resposta ao pedido de informação, que descumpre o art. 7°, I e o art. 11, §1º, III da Lei de Acesso à Informação (Lei n° 12.527 de 18 de novembro de 2011). 

O primeiro trecho mencionado assegura o direito de “obter orientação sobre os procedimentos para a consecução de acesso, bem como sobre o local onde poderá ser encontrada ou obtida a informação almejada”. O segundo determina que o órgão indique o órgão ou a entidade que detém a informação ou reencaminhe o pedido ao órgão ou entidade que detém a informação, informando o requerente sobre o encaminhamento.

Diante do exposto, requeiro a remessa do pedido ao órgão competente. Caso não seja possível, solicito que seja informado qual é o órgão competente para conceder acesso à informação solicitada."
6,Informação inexistente,"a informação solicitada não existe (ou não é produzida, ou não é armazenada)","a informação solicitada não existe (ou não é produzida, ou não é armazenada)",Informação não existe ou não é produzida,"Apresento recurso contra a resposta fornecida ao pedido de informação em que se afirma que a informação é inexistente. 

[Neste caso, depende bastante do pedido que você fez. O recurso deve ser apresentado se você tiver certeza de que o órgão produz a informação (por exemplo: você já obteve essa informação ou já a viu em alguma fonte confiável; o site do órgão diz que a informação é produzida, ou exibe versões antigas dela; o trabalho do órgão está diretamente relacionado à informação que você pediu e, portanto, seria muito improvável que ela não exista ou não seja produzida). Nesses casos, basta descrever os fatos].

Diante do exposto, solicito a reconsideração da resposta e o imediato fornecimento da informação solicitada."
7,"Processo decisório em curso, documento preparatório","a informação solicitada é parte de um processo decisório em curso ou é um documento preparatório, e por isso não pode ser fornecida","a informação solicitada é parte de um processo decisório em curso ou é um documento preparatório, e por isso não pode ser fornecida",Informação é documento preparatório ou processo decisório,"Apresento recurso contra a negativa de acesso a informações fornecida em resposta ao pedido. O art. 7º, §3º da Lei de Acesso à Informação (Lei n° 12527 de 18 de novembro de 2011) garante o acesso a informações e documentos que serviram de base para tomada de decisão ou edição de ato decisório após a tomada de decisão ou edição do ato.

Tendo em vista que [a decisão, lei, decreto, portaria, nomeação etc.] já foi concretizada, não cabe negar acesso aos documentos e às informações contidas nesses documentos relacionados a esse ato.

Diante do exposto, solicito reconsideração da resposta negativa e o fornecimento das informações solicitadas."
8,Trabalho adicional,"o pedido exige trabalho adicional de análise, interpretação ou consolidação de dados e por isso não será atendido","o pedido exige trabalho adicional de análise, interpretação ou consolidação de dados e por isso não será atendido",Necessidade de trabalho adicional,"Apresento recurso contra a negativa de atendimento ao pedido de informação fornecida, que está incompleta. 

De acordo com a resposta, o atendimento à solicitação demandaria trabalho adicional de análise, interpretação ou consolidação de dados e informações, ou serviço de produção ou tratamento de dados, mas não apresenta evidências para demonstrar a afirmação.

As boas práticas recomendam que, na hipótese apontada na negativa, o órgão público deve informar detalhes como: o estado atual de armazenamento das informações/dados requeridos; o tipo de tratamento que seria necessário para analisar, interpretar ou consolidar os dados solicitados; o volume aproximado de informações/dados; a quantidade de horas de trabalho necessária para realizar o tratamento;  a quantidade de recursos à disposição do órgão e informação da análise de impacto do requerimento (quantidade de horas x recursos humanos disponíveis x carga de trabalho regular do órgão).

O órgão não indica ou fornece, ainda, as informações a partir das quais eu possa realizar a interpretação, consolidação ou tratamento dos dados.

Diante do exposto, requeiro: o esclarecimento necessário por meio do fornecimento do máximo possível dentre os detalhes listados acima, e a indicação ou fornecimento das informações a partir das quais eu possa fazer a interpretação, consolidação e análise dos dados. Caso não seja possível conceder acesso às informações para que eu possa fazer o trabalho considerado adicional, solicito a apresentação dos motivos para a impossibilidade.

Caso não seja possível demonstrar a necessidade de trabalho adicional, requeiro a reversão da negativa de atendimento e o fornecimento da informação."
9,Dados pessoais,"a informação solicitada é ou contém dados pessoais, protegidos por lei, e por isso não pode ser fornecida","a informação solicitada é ou contém dados pessoais, protegidos por lei, e por isso não pode ser fornecida",Informação ou dado é pessoal/restrito pela LGPD,"Apresento recurso contra a negativa de acesso a informações fornecida em resposta ao meu pedido.

Ao mesmo tempo em que a Lei de Acesso à Informação (Lei n° 12527 de 18 de novembro de 2011) determina a proteção de informações pessoais, ela garante o acesso a elas quando forem necessárias à proteção do interesse público e geral preponderante, à defesa de direitos humanos e à realização de estatísticas e pesquisas científicas de evidente interesse público ou geral (Art. 31 § 3°).

A Lei Geral de Proteção de Dados (LGPD) também não se aplica a este caso. Em seu art. 25, ela determina que “os dados [pessoais tratados pelas pessoas jurídicas de direito público] deverão ser mantidos (...) para o uso compartilhado, com vistas (...) à disseminação e ao acesso das informações pelo público em geral”.

As informações solicitadas [são de claro interesse público/são necessárias para a defesa de direitos humanos/são necessárias à realização de estatística e pesquisa científica].

[De forma direta e clara, explique por que os dados são de interesse público ou, se for o caso, diga que serão usados em pesquisa e dê referências sobre essa pesquisa (trabalho acadêmico, relatório estatístico, etc).]

Diante do exposto, a negativa de acesso à informação não tem provimento legal. Solicito, portanto, a reconsideração da negativa e o fornecimento da informação solicitada."
10,Pedido genérico,"o pedido foi considerado genérico e, por isso, não será atendido","o pedido foi considerado genérico e, por isso, não será atendido",Pedido genérico,"Apresento recurso contra a resposta fornecida ao pedido de informações. A afirmação de que a solicitação é genérica não procede, pois o texto cumpre o que determina o art. 10 da Lei de Acesso à Informação (Lei n° 12527 de 18 de novembro de 2011): especifica a informação requerida.

A especificação apresentada possibilita a identificação do objeto e compreensão da solicitação para que seja garantido o direito de acesso à informação. O conceito de pedido genérico deve ser usado apenas quando realmente inexiste possibilidade de identificação do objeto do pedido a partir dos elementos que foram apresentados pelo requerente. 

Diante do exposto, a negativa de atendimento ao pedido de acesso à informação não tem provimento legal. Solicito, portanto, a reconsideração da resposta e o fornecimento da informação solicitada."
